cutoff	pos_evl	tot_evl	pos_std	tot_std
0	679081	5845853	82364	82365
0.1	634291	2108641	80397	82365
0.2	608645	1567693	78944	82365
0.25	598825	1430400	78317	82365
0.3	589024	1317143	77635	82365
0.35	579467	1225269	77002	82365
0.4	570717	1153259	76431	82365
0.425	566766	1123767	76167	82365
0.45	562962	1097573	75904	82365
0.475	559510	1074121	75621	82365
0.5	556114	1052193	75397	82365
0.525	549191	1009878	74848	82365
0.55	542433	971282	74303	82365
0.575	535661	936069	73800	82365
0.6	528992	903975	73295	82365
0.625	522425	874085	72776	82365
0.65	515858	845934	72212	82365
0.675	509338	819622	71686	82365
0.7	502369	793959	71146	82365
0.725	495029	768004	70491	82365
0.75	487158	742168	69765	82365
0.775	478799	716277	68954	82365
0.8	469347	689182	68127	82365
0.825	459083	662457	67197	82365
0.85	447122	634306	66027	82365
0.875	434081	606122	64781	82365
0.9	418726	574845	63475	82365
0.91	381272	505057	60991	82365
0.92	352018	454277	58721	82365
0.93	326526	412106	56680	82365
0.94	304441	376770	54663	82365
0.95	282727	342901	52452	82365
0.96	260984	310113	50121	82365
0.97	238147	276907	47565	82365
0.98	209552	237378	44222	82365
0.99	174794	192226	39954	82365
0.992	174794	192226	39954	82365
0.994	174794	192226	39954	82365
0.996	174794	192226	39954	82365
0.998	174794	192226	39954	82365
1	0	0	0	82365
1.025	0	0	0	82365
1.05	0	0	0	82365
1.075	0	0	0	82365
1.1	0	0	0	82365
1.125	0	0	0	82365
1.15	0	0	0	82365
1.175	0	0	0	82365
1.2	0	0	0	82365
