id	P1	P1r	P1n	P1nh	P2	P6	P33	P36	P45	P46	P52	P53	P54	P55
DDX11L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WASH7P	5	16	15	10	3	1	6	0	0	0	2	1	0	2
MIR6859-1	0	0	2	4	0	0	0	0	0	0	0	0	0	2
MIR6859-2	0	0	2	4	0	0	0	0	0	0	0	0	0	2
MIR6859-3	0	0	2	4	0	0	0	0	0	0	0	0	0	2
MIR6859-4	0	0	2	4	0	0	0	0	0	0	0	0	0	2
MIR1302-10	0	0	0	2	0	0	0	0	0	0	0	0	0	0
MIR1302-11	0	0	0	2	0	0	0	0	0	0	0	0	0	0
MIR1302-2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
MIR1302-9	0	0	0	2	0	0	0	0	0	0	0	0	0	0
FAM138A	2	6	10	6	3	1	0	0	0	0	0	0	0	2
FAM138C	2	6	10	6	3	1	0	0	0	0	0	0	0	2
FAM138F	2	6	10	6	3	1	0	0	0	0	0	0	0	2
OR4F5	0	0	0	2	0	0	0	0	0	0	0	0	0	0
LOC729737	11	31	30	41	10	9	8	0	2	3	4	2	5	5
MIR6859-1	2	7	9	2	2	1	0	0	0	0	0	0	0	0
MIR6859-2	2	7	9	2	2	1	0	0	0	0	0	0	0	0
MIR6859-3	2	7	9	2	2	1	0	0	0	0	0	0	0	0
MIR6859-4	2	7	9	2	2	1	0	0	0	0	0	0	0	0
FAM138D	1	1	1	0	0	0	0	0	0	0	0	0	0	0
OR4F16	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OR4F29	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OR4F3	0	0	1	0	0	0	0	0	0	0	0	0	0	0
LOC100132062	0	0	2	1	0	0	0	0	0	0	0	1	0	0
LOC100132287	0	0	2	1	0	0	0	0	0	0	0	1	0	0
LOC101928626	0	1	1	0	0	0	0	0	0	0	0	1	0	0
MIR6723	0	1	1	0	0	0	1	0	0	0	6	13	1	3
OR4F16	0	1	1	0	0	0	1	0	0	0	8	12	1	5
OR4F29	0	1	1	0	0	0	1	0	0	0	8	12	1	5
OR4F3	0	1	1	0	0	0	1	0	0	0	8	12	1	5
LOC100133331	0	1	1	0	0	1	1	0	2	0	8	9	1	7
LOC100288069	133	338	180	134	31	49	124	9	103	56	49	23	13	27
FAM87B	0	0	0	0	0	0	0	0	0	0	2	0	0	0
LINC00115	112	286	212	143	45	15	38	2	33	11	20	14	14	7
LINC01128	54	123	60	69	17	41	80	8	51	27	30	21	3	40
LINC01128	77	164	112	97	25	55	80	10	55	35	39	23	4	41
LINC01128	77	164	112	97	25	55	80	10	55	35	39	23	4	41
LINC01128	77	164	112	97	25	55	80	10	55	35	39	23	4	41
LINC01128	77	164	112	97	25	55	80	10	55	35	39	23	4	41
LINC01128	34	70	72	44	9	45	65	9	44	28	32	18	3	29
FAM41C	0	1	0	1	0	0	2	0	0	0	7	9	1	3
LOC100130417	0	37	1	1	0	0	1	0	0	0	1	0	0	1
LOC100130417	0	37	1	1	0	0	1	0	0	0	1	0	0	1
SAMD11	1	106	3	1	2	1	5	0	1	2	1	0	2	1
NOC2L	97	322	145	131	35	46	12	1	10	7	11	7	5	17
KLHL17	33	122	55	36	23	8	0	0	4	2	0	0	0	0
PLEKHN1	5	84	7	5	3	3	5	0	0	2	0	0	0	0
PLEKHN1	5	84	7	5	3	3	5	0	0	2	0	0	0	0
PERM1	0	28	1	1	0	0	0	0	0	0	1	0	2	1
PERM1	0	28	1	1	0	0	0	0	0	0	1	0	2	1
HES4	20	118	38	29	29	9	41	1	40	7	8	3	1	4
HES4	20	118	38	29	29	9	41	1	40	7	8	3	1	4
ISG15	81	245	160	165	129	19	49	2	53	34	7	4	7	19
AGRN	17	194	20	9	38	24	48	3	20	20	6	6	2	3
AGRN	17	194	20	9	38	24	48	3	20	20	6	6	2	3
RNF223	0	2	1	1	0	4	10	0	2	0	1	1	0	1
C1orf159	30	203	74	43	14	43	11	2	13	3	11	4	1	6
LINC01342	16	34	34	26	13	4	10	1	3	3	4	1	0	0
MIR200B	0	7	1	3	0	0	1	0	1	1	0	1	0	0
MIR200A	0	7	1	3	0	0	1	0	1	1	0	1	0	0
MIR429	0	7	1	3	0	0	1	0	1	1	0	1	0	0
TTLL10	1	13	4	4	1	0	1	0	3	1	2	3	2	1
TTLL10	1	8	3	4	1	0	1	0	2	1	0	1	0	0
TNFRSF18	4	10	4	7	1	3	19	1	4	3	1	1	4	0
TNFRSF18	4	10	4	7	1	3	19	1	4	3	1	1	4	0
TNFRSF18	4	10	4	7	1	3	19	1	4	3	1	1	4	0
TNFRSF4	8	24	15	14	3	12	28	2	10	8	12	3	1	6
SDF4	139	409	266	213	72	87	61	8	48	31	27	24	53	49
SDF4	139	409	266	213	72	87	61	8	48	31	27	24	53	49
B3GALT6	52	170	165	117	38	26	16	5	12	6	5	4	11	2
FAM132A	5	15	11	9	0	13	11	0	10	4	18	11	18	10
UBE2J2	233	669	579	439	107	120	25	8	15	22	33	23	35	39
UBE2J2	233	669	579	439	107	120	25	8	15	22	33	23	35	39
UBE2J2	233	669	579	439	107	120	25	8	15	22	33	23	35	39
UBE2J2	233	669	579	439	107	120	25	8	15	22	33	23	35	39
SCNN1D	6	57	13	19	7	2	3	0	2	0	1	2	6	1
SCNN1D	6	57	13	19	7	2	3	0	2	0	1	2	6	1
ACAP3	45	241	153	83	25	62	76	3	22	22	22	16	11	24
MIR6726	1	2	1	1	0	3	0	0	5	0	0	0	0	0
PUSL1	43	158	41	58	13	7	15	1	5	3	7	6	1	5
CPSF3L	101	322	179	182	22	91	77	9	46	51	31	30	53	74
CPSF3L	101	322	179	182	22	91	77	9	46	51	31	30	53	74
CPSF3L	101	322	179	182	22	91	77	9	46	51	31	30	53	74
CPSF3L	101	322	179	182	22	91	77	9	46	51	31	30	53	74
CPSF3L	101	322	179	182	22	91	77	9	46	51	31	30	53	74
MIR6727	3	3	4	2	0	0	3	0	4	0	0	0	0	0
CPTP	60	203	146	158	23	32	13	0	3	5	9	7	2	15
TAS1R3	3	19	27	7	4	9	4	0	1	1	10	6	23	6
DVL1	18	91	33	30	8	43	57	2	27	8	15	7	11	6
MIR6808	1	1	2	0	0	1	3	0	0	0	0	0	0	0
MXRA8	2	25	9	5	0	2	8	0	0	0	0	0	0	0
MXRA8	2	25	9	5	0	2	8	0	0	0	0	0	0	0
MXRA8	2	25	9	5	0	2	8	0	0	0	0	0	0	0
MXRA8	5	34	12	13	4	2	10	0	1	1	0	0	0	0
MXRA8	5	34	13	13	4	2	10	0	1	1	0	0	0	0
AURKAIP1	56	177	101	78	20	26	13	5	16	19	14	12	12	24
AURKAIP1	102	294	189	170	53	26	15	5	16	19	14	12	12	27
AURKAIP1	46	162	87	70	18	24	11	5	16	18	13	11	7	23
CCNL2	167	497	374	294	73	139	102	11	100	50	108	65	129	115
CCNL2	167	497	374	294	73	139	102	11	100	50	108	65	129	115
CCNL2	167	497	374	294	73	139	102	11	100	50	108	65	129	115
CCNL2	167	497	374	294	73	139	102	11	100	50	108	65	129	115
CCNL2	139	369	278	204	55	96	88	8	62	42	73	45	87	81
LOC148413	85	248	169	170	53	6	25	2	8	9	9	5	6	6
MRPL20	126	419	272	210	63	45	72	3	27	16	35	7	4	16
MRPL20	126	418	271	210	63	45	72	3	27	16	35	7	4	16
ANKRD65	0	7	5	0	0	0	0	0	0	0	0	1	1	0
ANKRD65	0	7	5	0	0	0	0	0	0	0	0	1	1	0
ANKRD65	0	7	5	0	0	0	0	0	0	0	0	1	1	0
TMEM88B	0	16	2	2	1	0	0	0	0	0	0	0	0	0
LOC102724312	0	32	2	1	0	0	1	0	0	0	0	0	0	0
LOC102724312	0	32	2	1	0	0	1	0	0	0	0	0	0	0
LOC102724312	0	32	2	1	0	0	1	0	0	0	0	0	0	0
VWA1	1	83	2	2	1	0	0	0	0	0	0	0	0	0
VWA1	1	83	2	2	1	0	0	0	0	0	0	0	0	0
ATAD3C	4	13	5	9	3	0	0	0	1	0	0	1	1	1
ATAD3B	61	307	123	115	22	40	22	4	17	6	9	13	17	14
ATAD3B	16	137	52	27	12	28	19	4	14	4	7	8	5	10
ATAD3A	34	177	62	48	13	25	21	7	10	14	6	2	2	2
ATAD3A	34	177	62	48	13	25	21	7	10	14	6	2	2	2
ATAD3A	12	77	22	11	3	22	20	6	6	10	6	2	2	2
TMEM240	12	50	24	22	3	21	18	2	15	9	7	10	19	13
SSU72	378	1216	1002	697	188	387	315	30	196	135	211	140	204	280
