TF	replace
CETS1P54	ETS1
NRF2	NFE2L2
P300	EP300
AHRARNT	ARNT
AP2ALPHA	TFAP2A
AP2GAMMA	TFAP2C
AREB6	ZEB1
CMYB	MYB
COUP	NR2F1
EVI1	MECOM
FAC1	BPTF
HAND1E47	TCF3
MYCMAX	MYC
OCT1	POU2F1
TAXCREB	CREB1
TCF11MAFG	NFE2L1
USF	USF1
AP1FJ	JUN
AP2	TFAP2A
CEBP	CEBPB
ISRE	IRF2
MYOGNF1	MYOG
RORA1	RORA
ZID	ZBTB6
CREB	CREB1
CREL	REL
AP4	TFAP4
CP2	TFCP2
E2F	E2F3
ER	ESR1
HEN1	NHLH1
MAZR	PATZ1
P53	TP53
SREBP1	SREBF1
IK2	IKZF2
OLF1	EBF1
LUN1	TOPORS
NFKAPPAB	NFKB1
FREAC3	FOXC1
FREAC4	FOXD1
NKX25	NKX2-5
E47	TCF3
HNF4	HNF4A
AP2REP	KLF12
STAT	STAT1
CHOP	DDIT3
MIF1	HERPUD1
NMYC	MYCN
NRSF	REST
AP1	FOS
CDPCR1	CUX1
MYOD	MYOD1
NFKAPPAB50	NFKB1
GR	NR3C1
NFKB	NFKB1
NGFIC	EGR4
TCF11	NFE2L1
CREBP1CJUN	ATF2
E4BP4	NFIL3
NFY	NFYC
ROAZ	ZNF423
FREAC7	FOXL1
MEF2	MEF2C
AML1	RUNX1
GRE	NR3C1
ARP1	ACTR1A
CDPCR3HD	CUX2
LMO2COM	NUPR1
NCX	TLX2
TST1	TST1
ATF	ATF1
TAL1BETAE47	TAL1
HNF1	HNF1B
RORA2	RORA
CDPCR3	CUX2
CREBP1	ATF2
TAL1ALPHAE47	TAL1
CDP	CUX1
HTF	TCF12
IK3	IKZF3
TAL1BETAITF2	TCF4
IK1	IKZF1
HFH1	FOXQ1
HFH3	FOXI1
TGIF	TGIF1
HNF3B	FOXA2
HOX13	HOXA13
NKX22 NKX2-2
BRN2	POU3F2
RSRFC4	MEF2A
TATA	TBP
FREAC2	FOXF2
CDC5	CDC5L
MRF2	ARID5B
CHX10	VSX2
CART1	ALX1
OCT	POU5F1
GATA	GATA2A
LYF1	IKZF1
NKX3A	NKX3-1
NFAT	NFATC2
NFKAPPAB65	RELA
MEIS1AHOXA9	HOXA9
NKX61	NKX6-1
