cutoff	pos_evl	tot_evl	pos_std	tot_std
0	563577	3487672	83946	87826
0.1	553893	2319000	82952	87826
0.2	538689	1529945	81275	87826
0.25	529339	1274117	80166	87826
0.3	518609	1085329	78935	87826
0.35	506997	946542	77528	87826
0.4	494266	841509	76016	87826
0.425	487416	798059	75211	87826
0.45	480277	759697	74359	87826
0.475	472785	724682	73493	87826
0.5	465078	692705	72603	87826
0.525	457038	663189	71655	87826
0.55	448687	635709	70644	87826
0.575	440073	609849	69623	87826
0.6	431262	585641	68562	87826
0.625	422019	562390	67500	87826
0.65	412310	539968	66397	87826
0.675	402114	518037	65247	87826
0.7	391515	496424	64011	87826
0.725	380235	474979	62749	87826
0.75	368335	453790	61386	87826
0.775	355711	432297	59961	87826
0.8	342146	410410	58414	87826
0.825	327227	387866	56775	87826
0.85	311146	364333	55028	87826
0.875	292953	339147	53125	87826
0.9	271978	311562	51051	87826
0.91	262586	299701	50110	87826
0.92	252743	287415	49171	87826
0.93	242106	274416	48212	87826
0.94	230599	260599	47145	87826
0.95	218339	246034	46038	87826
0.96	205527	231004	44865	87826
0.97	191641	214875	43572	87826
0.98	177207	198327	42112	87826
0.99	162310	181347	40521	87826
1	147091	164214	38862	87826
1.025	108805	121172	33830	87826
1.05	72794	81064	27308	87826
1.075	44175	49183	20147	87826
1.1	23973	26715	13190	87826
1.125	11758	13126	7508	87826
1.15	5316	5926	3785	87826
1.175	2282	2541	1729	87826
1.2	923	1028	756	87826
