name	PMNL	PBMC	count	r	sig
PHOSPHO1	23.1545	0.0307076333333333	62	10.2061620209919	PMNL
CA4	11.764045	0.0210133	69	9.7765482064246	PMNL
ALPL	5.268776	0.01164158	118	9.46971961979333	PMNL
RP11-7F17.4	5.72578	0.0142396	143	9.29910226765431	PMNL
IL1R2	10.2672033333333	0.0420828333333333	57	8.57827816482495	PMNL
G0S2	369.349	1.68737	239	8.42174696378	PMNL
CNTNAP3	0.3915	0.001897225	56	8.33666017236879	PMNL
CYP4F3	5.680134	0.02781146	54	8.32178413095318	PMNL
EPHB1	3.953721	0.0330746	86	7.54902600907507	PMNL
MME	0.7683835	0.00648381	55	7.53652337341901	PMNL
PANX2	15.8440333333333	0.141239	98	7.45733977898205	PMNL
LRG1	52.9055	0.50618	60	7.35530585496077	PMNL
CTB-50L17.14	26.2752	0.257505	216	7.32063994923224	PMNL
CEACAM3	8.821576	0.09673914	63	7.158475357097	PMNL
KCNJ15	3.59368842105263	0.0412383105263158	86	7.09301875044293	PMNL
PLIN5	9.88878	0.1195794	52	7.01743422061496	PMNL
LGALSL	26.0622	0.3390075	70	6.91218032996244	PMNL
EGR3	52.365825	0.723053	82	6.82606283487654	PMNL
MGAM	1.66363666666667	0.0245765333333333	137	6.72859760732998	PMNL
CXCR1	17.0921	0.262598	53	6.67201238355917	PMNL
RP1-28O10.1	6.882745	0.11489775	113	6.55224406800309	PMNL
BICDL2	8.5548	0.147863	60	6.50208359134636	PMNL
PDE3A	0.280171	0.00518842	68	6.4025510120539	PMNL
TNFRSF10C	26.460902	0.5573196	68	6.21689599870374	PMNL
RP11-10J21.2	31.4144	0.717133	67	6.1007239676679	PMNL
PDE10A	0.199274	0.0049204	72	5.98751653483844	PMNL
CXCR2	10.5208	0.2607612	77	5.98205384068782	PMNL
AATK	25.00529	0.6227031	52	5.97522752457212	PMNL
CFAP45	4.7188125	0.12153905	61	5.92661448162511	PMNL
CCNJL	3.59927428571429	0.0973591428571429	103	5.85592823061507	PMNL
CXCL8	28.4789	0.806244	77	5.79021555321314	PMNL
KAZN	0.379515122222222	0.0112900655555556	52	5.71871406374913	PMNL
KIAA1257	4.39532333333333	0.131416366666667	120	5.71143489163233	PMNL
MCEMP1	23.40445	0.7515055	51	5.60853784875019	PMNL
AQP9	9.463445	0.31179375	104	5.57138401197612	PMNL
DGAT2	14.09162625	0.48254	54	5.51572822609585	PMNL
CTD-3088G3.8	5.06881	0.183501	71	5.43546971582338	PMNL
MBOAT7	63.3123071428571	2.38034428571429	107	5.38092626788616	PMNL
FCGR2A	31.997909	1.2497379	73	5.32596262627161	PMNL
HSPA6	30.5887	1.20682	67	5.31139883797692	PMNL
PTGS2	24.230475	0.98377475	84	5.27003330923118	PMNL
RP11-806H10.4	4.92007	0.202475	62	5.25054560927985	PMNL
LINC01344	1.32883	0.0556434	144	5.22548462240752	PMNL
RP11-22N19.2	208.483	8.84775	167	5.20615777647802	PMNL
FFAR2	31.6921	1.345475	133	5.20561822898294	PMNL
RBFOX1	0.0562258666666667	0.00239473111111111	55	5.20098087397349	PMNL
IL1R1	1.6072187	0.06970331	57	5.17487773719301	PMNL
LINC01270	5.96489	0.263882	127	5.14621314282466	PMNL
