id	bedgraph/WB_pCRO_HK1_1910	bedgraph/WB_pCRO_HK2_1910	bedgraph/WB_pCRO_HK3_1910	bedgraph/WB_pCRO_HK4_1910	bedgraph/WB_pCRO_SL1_1910	bedgraph/WB_pChRO_EK6_2003	bedgraph/WB_pChRO_EK33_2003	bedgraph/WB_pChRO_EK45_2003	bedgraph/WB_pChRO_EK52_2003	bedgraph/WB_pChRO_EK53_2003
total	3.52595	7.18687	5.55095	10.3787	1.96489	1.53937	2.16207	1.43493	1.20032	0.797281
chr1:778450-778850;prm:LOC100288069:778688:-;-	102	139	100	258	24	21	61	53	17	6
chr1:778450-778850;prm:LOC100288069:778688:-;+	0	1	0	5	0	0	1	0	0	0
chr1:959250-959450;prm:NOC2L:959299:-;-	0	0	0	2	0	0	0	0	0	0
chr1:959250-959450;prm:NOC2L:959299:-;+	0	0	0	0	0	0	0	0	0	0
chr1:998500-999150;enhP:HES4:1000172:-;+	0	0	0	17	0	0	0	0	0	1
chr1:1000000-1000500;prm:HES4:1000172:-;-	15	31	25	91	29	2	6	19	6	2
chr1:1000000-1000500;prm:HES4:1000172:-;+	0	2	0	9	0	1	5	0	0	0
chr1:1000550-1001000;enhP:HES4:1000172:+;-	0	0	0	7	0	0	0	0	0	0
chr1:1013450-1013600;prm:ISG15:1013466:+;-	0	0	0	1	0	1	0	5	0	0
chr1:1013450-1013600;prm:ISG15:1013466:+;+	40	91	84	143	49	6	25	21	4	2
chr1:1014150-1014800;enhP:ISG15:1013466:+;-	2	5	2	4	2	1	2	0	0	0
chr1:1068500-1068750;enhD:ISG15:1013466:+;-	0	0	1	2	0	6	6	0	0	0
chr1:1068500-1068750;enhD:ISG15:1013466:+;+	0	0	0	2	0	0	0	0	0	0
chr1:1069000-1069150;enhD:ISG15:1013466:+;-	0	0	0	0	0	0	0	0	3	1
chr1:1069000-1069150;enhD:ISG15:1013466:+;+	0	0	0	0	0	0	2	0	0	0
chr1:1116050-1116150;enhD:LINC01342:1137016:+;-	0	0	1	0	0	0	0	0	0	0
chr1:1116050-1116150;enhD:LINC01342:1137016:+;+	0	0	0	0	0	0	0	0	0	0
chr1:1136500-1137000;prm:LINC01342:1137016:+;-	4	0	3	5	0	0	0	0	0	0
chr1:1136500-1137000;prm:LINC01342:1137016:+;+	3	2	1	6	0	0	1	3	0	0
chr1:1137100-1137750;prm:LINC01342:1137016:+;-	4	10	8	15	0	1	0	0	0	0
chr1:1137100-1137750;prm:LINC01342:1137016:+;+	13	31	15	25	11	3	3	0	3	0
chr1:1143950-1144850;enhG:LINC01342:1137016:+;-	5	7	7	9	3	0	0	0	0	0
chr1:1157550-1157900;enhG:LINC01342:1137016:+;-	1	2	1	3	1	0	0	0	0	0
