id	bedgraph/WB_pCRO_HK1_1910	bedgraph/WB_pCRO_HK2_1910	bedgraph/WB_pCRO_HK3_1910	bedgraph/WB_pCRO_HK4_1910	bedgraph/WB_pCRO_SL1_1910	bedgraph/WB_pChRO_EK6_2003	bedgraph/WB_pChRO_EK33_2003	bedgraph/WB_pChRO_EK45_2003	bedgraph/WB_pChRO_EK52_2003	bedgraph/WB_pChRO_EK53_2003
efftotal	1.57981	3.60771	2.4424	4.61471	0.846555	0.631131	0.419659	0.307532	0.31582	0.514519
chr1:11873-14409;DDX11L1;+	0	0	0	0	0	0	0	0	0	0
chr1:14361-29370;WASH7P;-	4	14	9	13	3	1	2	0	1	1
chr1:17368-17436;MIR6859-1;-	0	0	0	0	0	0	0	0	0	0
chr1:17368-17436;MIR6859-2;-	0	0	0	0	0	0	0	0	0	0
chr1:17368-17436;MIR6859-3;-	0	0	0	0	0	0	0	0	0	0
chr1:17368-17436;MIR6859-4;-	0	0	0	0	0	0	0	0	0	0
chr1:30365-30503;MIR1302-2;+	0	0	0	0	0	0	0	0	0	0
chr1:30365-30503;MIR1302-9;+	0	0	0	0	0	0	0	0	0	0
chr1:30365-30503;MIR1302-10;+	0	0	0	0	0	0	0	0	0	0
chr1:30365-30503;MIR1302-11;+	0	0	0	0	0	0	0	0	0	0
chr1:34610-36081;FAM138A;-	0	0	0	0	0	0	0	0	0	0
chr1:34610-36081;FAM138F;-	0	0	0	0	0	0	0	0	0	0
chr1:34610-36081;FAM138C;-	0	0	0	0	0	0	0	0	0	0
chr1:69090-70008;OR4F5;+	0	0	0	0	0	0	0	0	0	0
chr1:134772-140566;LOC729737;-	7	17	29	24	6	5	7	1	3	2
chr1:187890-187958;MIR6859-1;-	0	0	0	0	0	0	0	0	0	0
chr1:187890-187958;MIR6859-2;-	0	0	0	0	0	0	0	0	0	0
chr1:187890-187958;MIR6859-3;-	0	0	0	0	0	0	0	0	0	0
chr1:187890-187958;MIR6859-4;-	0	0	0	0	0	0	0	0	0	0
chr1:205128-206597;FAM138D;-	0	0	0	0	0	0	0	0	0	0
chr1:450739-451678;OR4F29;-	0	0	0	0	0	0	0	0	0	0
chr1:450739-451678;OR4F3;-	0	0	0	0	0	0	0	0	0	0
chr1:450739-451678;OR4F16;-	0	0	0	0	0	0	0	0	0	0
chr1:490755-495445;LOC100132287;-	0	1	1	0	0	0	0	0	0	0
chr1:490755-495445;LOC100132062;-	0	1	1	0	0	0	0	0	0	0
chr1:627379-629009;LOC101928626;-	0	0	0	0	0	0	0	0	0	0
chr1:632324-632413;MIR6723;-	0	0	0	0	0	0	0	0	0	0
chr1:685715-686654;OR4F29;-	0	0	0	0	0	0	0	0	0	0
chr1:685715-686654;OR4F3;-	0	0	0	0	0	0	0	0	0	0
chr1:685715-686654;OR4F16;-	0	0	0	0	0	0	0	0	0	0
chr1:725758-730351;LOC100133331;-	0	0	0	0	0	1	0	1	0	0
chr1:764864-778688;LOC100288069;-	55	70	55	101	21	33	54	42	17	12
chr1:817370-819834;FAM87B;+	0	0	0	0	0	0	0	0	1	0
chr1:826205-827522;LINC00115;-	61	79	52	100	23	10	17	15	7	6
chr1:827590-843604;LINC01128;+	26	32	28	50	8	25	33	23	14	13
chr1:827590-859446;LINC01128;+	45	79	49	88	14	33	33	25	16	15
chr1:827590-859446;LINC01128;+	45	79	49	88	14	33	33	25	16	15
chr1:827590-859446;LINC01128;+	45	79	49	88	14	33	33	25	16	15
chr1:827590-859446;LINC01128;+	45	79	49	88	14	33	33	25	16	15
chr1:827797-859446;LINC01128;+	29	64	32	60	7	26	27	20	13	12
chr1:868070-876802;FAM41C;-	0	0	0	1	0	0	1	0	0	1
chr1:916817-919692;LOC100130417;-	0	1	0	36	0	0	0	0	0	0
chr1:916817-919692;LOC100130417;-	0	1	0	36	0	0	0	0	0	0
chr1:925740-944581;SAMD11;+	0	1	0	96	0	1	2	1	1	0
chr1:944202-959299;NOC2L;-	35	67	58	147	15	26	6	6	6	6
